year,Zip Code,Highest Offense Description,Reports
2009,78610,Aggravated Assault,1
2009,78610,Other,7
2009,78610,Theft,1
2009,78613,Aggravated Assault,11
2009,78613,Burglary,55
2009,78613,Manslaughter,1
2009,78613,Motor Vehicle Theft,7
2009,78613,Other,131
2009,78613,Robbery,5
2009,78613,Sexual Assault,3
2009,78613,Theft,248
2009,78617,Aggravated Assault,137
2009,78617,Burglary,140
2009,78617,Motor Vehicle Theft,12
2009,78617,Other,661
2009,78617,Robbery,2
2009,78617,Sexual Assault,18
2009,78617,Theft,126
2009,78641,Other,3
2009,78641,Theft,1
2009,78652,Aggravated Assault,1
2009,78652,Burglary,5
2009,78652,Manslaughter,1
2009,78652,Motor Vehicle Theft,1
2009,78652,Other,22
2009,78652,Theft,3
2009,78653,Aggravated Assault,13
2009,78653,Burglary,35
2009,78653,Other,52
2009,78653,Theft,10
2009,78660,Aggravated Assault,20
2009,78660,Arson,1
2009,78660,Burglary,59
2009,78660,Motor Vehicle Theft,9
2009,78660,Other,183
2009,78660,Robbery,2
2009,78660,Sexual Assault,1
2009,78660,Theft,80
2009,78664,Aggravated Assault,4
2009,78664,Burglary,1
2009,78664,Other,10
2009,78664,Sexual Assault,1
2009,78681,Burglary,1
2009,78681,Other,10
2009,78681,Theft,1
2009,78701,Aggravated Assault,851
2009,78701,Arson,3
2009,78701,Burglary,792
2009,78701,Manslaughter,1
2009,78701,Motor Vehicle Theft,71
2009,78701,Other,8683
2009,78701,Robbery,69
2009,78701,Sexual Assault,56
2009,78701,Theft,1372
2009,78702,Aggravated Assault,843
2009,78702,Arson,5
2009,78702,Burglary,1215
2009,78702,Motor Vehicle Theft,100
2009,78702,Murder,3
2009,78702,Other,5799
2009,78702,Robbery,91
2009,78702,Sexual Assault,62
2009,78702,Theft,925
2009,78703,Aggravated Assault,76
2009,78703,Burglary,651
2009,78703,Motor Vehicle Theft,36
2009,78703,Other,1274
2009,78703,Robbery,4
2009,78703,Sexual Assault,8
2009,78703,Theft,356
2009,78704,Aggravated Assault,660
2009,78704,Arson,5
2009,78704,Burglary,1935
2009,78704,Manslaughter,1
2009,78704,Motor Vehicle Theft,132
2009,78704,Other,5672
2009,78704,Robbery,72
2009,78704,Sexual Assault,70
