year,Zip Code,ZHVI_AllHomes
2009,78610,180533.33
2009,78613,190950.0
2009,78617,116075.0
2009,78641,153816.67
2009,78664,138175.0
2009,78681,198275.0
2009,78701,319633.33
2009,78702,197808.33
2009,78703,509583.33
2009,78704,310758.33
2009,78717,236083.33
2009,78721,124033.33
2009,78722,249533.33
2009,78723,179391.67
2009,78725,109625.0
2009,78726,370400.0
2009,78727,191741.67
2009,78728,167225.0
2009,78729,186000.0
2009,78731,435441.67
2009,78733,471000.0
2009,78735,335333.33
2009,78736,245600.0
2009,78738,466700.0
2009,78739,318266.67
2009,78741,128100.0
2009,78744,105366.67
2009,78745,164900.0
2009,78746,619000.0
2009,78748,175750.0
2009,78749,225733.33
2009,78751,278016.67
2009,78752,171775.0
2009,78753,133691.67
2009,78756,329025.0
2009,78757,244000.0
2009,78758,136625.0
2009,78759,293783.33
2010,78610,172533.33
2010,78613,184333.33
2010,78617,113775.0
2010,78641,147100.0
2010,78664,132358.33
2010,78681,193958.33
2010,78701,297625.0
2010,78702,201200.0
2010,78703,521416.67
2010,78704,307450.0
2010,78717,235691.67
2010,78721,127808.33
2010,78722,245033.33
2010,78723,178716.67
2010,78725,107233.33
2010,78726,327466.67
2010,78727,186591.67
2010,78728,165750.0
2010,78729,180991.67
2010,78731,435100.0
2010,78733,455108.33
2010,78735,324725.0
2010,78736,218150.0
2010,78738,425491.67
2010,78739,316066.67
2010,78741,110108.33
2010,78744,103675.0
2010,78745,161141.67
2010,78746,615050.0
2010,78748,170258.33
2010,78749,221175.0
2010,78751,268641.67
2010,78752,169316.67
2010,78753,130916.67
2010,78756,316933.33
2010,78757,241958.33
2010,78758,134116.67
2010,78759,286008.33
2011,78610,167591.67
2011,78613,182450.0
2011,78617,104841.67
2011,78641,143600.0
2011,78664,130350.0
2011,78681,191216.67
2011,78701,303008.33
2011,78702,198791.67
2011,78703,509408.33
2011,78704,301783.33
2011,78717,230816.67
2011,78721,122766.67
2011,78722,240833.33
2011,78723,175683.33
2011,78725,99683.33
2011,78726,323016.67
2011,78727,181725.0
2011,78728,159008.33
2011,78729,175908.33
2011,78731,427883.33
2011,78733,458083.33
2011,78735,317616.67
2011,78736,210675.0
2011,78738,427900.0
2011,78739,317150.0
2011,78741,107750.0
2011,78744,99566.67
2011,78745,157891.67
2011,78746,616233.33
2011,78748,167125.0
2011,78749,220458.33
2011,78751,267866.67
2011,78752,167433.33
2011,78753,125041.67
2011,78756,318983.33
2011,78757,239558.33
2011,78758,132300.0
2011,78759,278175.0
2012,78610,166941.67
2012,78613,185658.33
2012,78617,112108.33
2012,78641,147333.33
2012,78664,130175.0
2012,78681,196125.0
2012,78701,322616.67
2012,78702,208550.0
2012,78703,531683.33
2012,78704,327800.0
2012,78717,232875.0
2012,78721,127575.0
2012,78722,260816.67
2012,78723,192250.0
2012,78725,103658.33
2012,78726,331025.0
2012,78727,188600.0
2012,78728,161625.0
2012,78729,178683.33
2012,78731,450041.67
2012,78733,469650.0
2012,78735,330683.33
2012,78736,215491.67
2012,78738,430866.67
2012,78739,330183.33
2012,78741,111066.67
2012,78744,100858.33
2012,78745,162725.0
2012,78746,654833.33
2012,78748,170441.67
2012,78749,228716.67
2012,78751,277533.33
2012,78752,174975.0
2012,78753,129050.0
2012,78756,332241.67
2012,78757,254491.67
2012,78758,130241.67
2012,78759,283358.33
2013,78610,174950.0
2013,78613,199900.0
2013,78617,121550.0
2013,78641,158550.0
2013,78664,139408.33
2013,78681,209025.0
2013,78701,364166.67
2013,78702,238500.0
2013,78703,585633.33
2013,78704,367033.33
2013,78717,250900.0
2013,78721,143175.0
2013,78722,289866.67
2013,78723,219425.0
2013,78725,107150.0
2013,78726,346041.67
2013,78727,203608.33
2013,78728,171983.33
2013,78729,193733.33
2013,78731,470166.67
2013,78733,502691.67
2013,78735,367825.0
2013,78736,228650.0
2013,78738,455725.0
2013,78739,353791.67
2013,78741,122083.33
2013,78744,108291.67
2013,78745,180575.0
2013,78746,719991.67
2013,78748,186625.0
2013,78749,248791.67
2013,78751,303933.33
2013,78752,190933.33
2013,78753,137033.33
2013,78756,365258.33
2013,78757,279975.0
2013,78758,143291.67
2013,78759,311533.33
2014,78610,189741.67
2014,78613,219516.67
2014,78617,129575.0
2014,78641,173075.0
2014,78664,153100.0
2014,78681,227325.0
2014,78701,393866.67
2014,78702,275483.33
2014,78703,621100.0
2014,78704,409983.33
2014,78717,271575.0
2014,78721,173025.0
2014,78722,323308.33
2014,78723,252791.67
2014,78725,118333.33
2014,78726,383625.0
2014,78727,224591.67
2014,78728,191741.67
2014,78729,217383.33
2014,78731,518133.33
2014,78733,549466.67
2014,78735,397291.67
2014,78736,250200.0
2014,78738,485341.67
2014,78739,386750.0
2014,78741,132350.0
2014,78744,124225.0
2014,78745,200983.33
2014,78746,772966.67
2014,78748,207408.33
2014,78749,276250.0
2014,78751,334316.67
2014,78752,228350.0
2014,78753,150066.67
2014,78756,395750.0
2014,78757,317208.33
