year,Zip Code,Reports,Population,Crime Rate
2011,78610,7,22052,31.7
2011,78613,449,63901,702.6
2011,78617,1094,18572,5890.6
2011,78652,33,4256,775.4
2011,78653,97,14631,663.0
2011,78660,303,67630,448.0
2011,78664,10,51942,19.3
2011,78681,4,51409,7.8
2011,78701,10312,5084,202832.4
2011,78702,7868,20643,38114.6
2011,78703,2223,19579,11354.0
2011,78704,9303,41616,22354.4
2011,78705,3413,29247,11669.6
2011,78712,24,544,4411.8
2011,78717,692,22278,3106.2
2011,78719,586,1427,41065.2
2011,78721,2710,11100,24414.4
2011,78722,1189,5733,20739.6
2011,78723,7576,29869,25364.1
2011,78724,2226,20447,10886.7
2011,78725,256,6021,4251.8
2011,78726,702,13198,5319.0
2011,78727,2081,28075,7412.3
2011,78728,90,20232,444.8
2011,78729,1757,27024,6501.6
2011,78730,162,8242,1965.5
2011,78731,1597,24898,6414.2
2011,78732,18,13389,134.4
2011,78733,11,9219,119.3
2011,78734,6,16729,35.9
2011,78735,851,16024,5310.8
2011,78736,287,6599,4349.1
2011,78737,11,12458,88.3
2011,78738,4,11504,34.8
2011,78739,318,15957,1992.9
2011,78741,12621,46959,26876.6
2011,78742,177,780,22692.3
2011,78744,7501,41593,18034.3
2011,78745,8518,55010,15484.5
2011,78746,1614,26677,6050.2
2011,78747,795,13179,6032.3
2011,78748,4198,37784,11110.5
2011,78749,2298,33947,6769.4
2011,78750,1607,26734,6011.1
2011,78751,4242,14526,29202.8
2011,78752,4897,16494,29689.6
2011,78753,10596,51547,20556.0
2011,78754,1451,13326,10888.5
2011,78756,1031,7682,13421.0
2011,78757,3538,22542,15695.1
2011,78758,8900,43577,20423.6
2011,78759,3780,40602,9309.9
2012,78610,2,24313,8.2
2012,78613,458,65178,702.7
2012,78617,1036,19553,5298.4
2012,78641,2,47490,4.2
2012,78652,58,4687,1237.5
2012,78653,84,15783,532.2
2012,78660,314,70407,446.0
2012,78664,9,54864,16.4
2012,78681,6,53229,11.3
2012,78701,9982,5642,176923.1
2012,78702,7801,21032,37091.1
2012,78703,2185,19873,10994.8
2012,78704,8957,41709,21475.0
2012,78705,3103,30532,10163.1
2012,78712,26,554,4693.1
2012,78717,608,23514,2585.7
2012,78719,629,1717,36633.7
2012,78721,2642,11178,23635.7
2012,78722,1116,5973,18684.1
2012,78723,7270,30999,23452.4
2012,78724,2371,21677,10937.9
2012,78725,185,6477,2856.3
2012,78726,644,12482,5159.4
2012,78727,1913,28461,6721.5
2012,78728,58,20939,277.0
2012,78729,1574,28228,5576.0
2012,78730,154,8312,1852.7
2012,78731,1587,24716,6420.9
2012,78732,12,14307,83.9
2012,78733,9,9486,94.9
2012,78734,4,17824,22.4
2012,78735,925,16882,5479.2
2012,78736,206,6841,3011.3
2012,78737,14,12882,108.7
2012,78738,1,12457,8.0
2012,78739,315,16911,1862.7
2012,78741,12687,48246,26296.5
2012,78742,154,901,17092.1
2012,78744,7189,43452,16544.7
2012,78745,8352,54917,15208.4
2012,78746,1716,26939,6369.9
2012,78747,821,14158,5798.8
2012,78748,4104,40290,10186.2
2012,78749,2389,34391,6946.6
2012,78750,1623,27119,5984.7
2012,78751,4082,14340,28465.8
2012,78752,4873,17170,28380.9
2012,78753,10766,52384,20552.1
2012,78754,1286,13570,9476.8
2012,78756,963,8060,11947.9
2012,78757,3294,22718,14499.5
2012,78758,9167,45105,20323.7
2012,78759,3752,39850,9415.3
2013,78610,2,25580,7.8
2013,78613,446,68426,651.8
2013,78617,982,21096,4654.9
2013,78641,1,48854,2.0
2013,78652,35,5117,684.0
2013,78653,82,16917,484.7
2013,78660,346,75038,461.1
2013,78664,2,57806,3.5
2013,78681,2,54141,3.7
2013,78701,9693,5915,163871.5
2013,78702,7267,21655,33558.1
2013,78703,2013,19860,10136.0
2013,78704,8606,41999,20491.0
2013,78705,2677,31282,8557.6
2013,78712,20,548,3649.6
2013,78717,668,24099,2771.9
2013,78719,679,1746,38888.9
2013,78721,2817,11482,24534.1
2013,78722,1067,6355,16789.9
